filename,SMILES
27.png,CC(C)C1=CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CC1C1C(=O)N(c2ccc(N4C(=O)C5C6CC7C8(C)CCCC(C)(C(=O)O)C8CCC7(C=C6C(C)C)C5C4=O)cc2)C(=O)C13
28.png,CCc1c(C)[nH]c(=O)c(N(C)C)c1S(=O)c1cc(C)cc(C)c1
29.png,CCC(C)CC(=O)Nc1cccc(O)c1
30.png,CC(=O)NCCCOc1ccc(C(=O)N2CCC(N3C(=O)CCc4ccccc43)CC2)cc1
31.png,COc1ccc2nccc(C=C3CC4CCN3CC4=O)c2c1
32.png,O=S(=O)(O)SCCCSS(=O)(=O)O
33.png,C[N+]1(C)CCN(C(=O)C2c3ccccc3-c3ccccc32)CC1
34.png,CN(C)C=NS(=O)(=O)c1nn2c(C=O)c(-c3ccc(Cl)cc3)nc2s1
35.png,NC(COP(=O)(O)O)C(=O)O
36.png,O=C(CNC1CCCCC1)Nc1cccc(Cl)c1
37.png,CCOC(=O)C1(c2ccccc2)CCN(CCOCc2ccccc2)CC1
38.png,COc1ccc2nc3cc(Cl)ccc3c(NC(=O)CSc3ccc(Cl)cc3)c2c1
39.png,CC(C=O)=Cc1ccccc1
40.png,O=S(=O)(O)c1cccc2c(/N=N/c3ccc(/N=N/c4ccc(Nc5ccccc5)c5c(S(=O)(=O)O)cccc45)c4ccccc34)cccc12
41.png,CCOC(=O)C(CCc1ccccc1[N+](=O)[O-])C(C)=O
42.png,COC(=O)c1ccc(O)c(/N=C/c2ccc(N(CCCl)CCCl)cc2)c1
43.png,Nc1ccn([C@@H]2C[C@H](OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)C[C@@H]3O)[C@@H](COP(=O)(O)O)O2)c(=O)n1
44.png,O=C(NC(=O)c1ccc(Cl)c(Cl)c1)Nc1ccc(Cl)cc1
45.png,CCSc1ccc2c3c1C[C@@H](Cn1ccnc1)C[C@@]3(CC)CCC2
46.png,C#CCNC(=O)c1ccc(OC)cc1
47.png,CCOc1ccc(Nc2nc(N)nc(N)c2N)cc1
48.png,[H]/N=C(\N)SCCCCN
49.png,CC(CO)(CO)C(=O)NNc1ccccc1
50.png,CCOC(=O)C(C)CC(C)C(=O)OCC
51.png,c1ccc2c(c1)-c1ccc3c4cccc5cccc(c6ccc-2c1c36)c54
52.png,O=C(N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O)c1ccc2c(c1)nc(-c1ccoc1)n2[C@@H]1CCCC[C@H]1CO
53.png,O=c1cc2n(c(=O)[nH]1)C1OC(C2CCO)C(O)C1O
54.png,CC1(C(=O)O)CC1
55.png,O[C@H]1[C@H](O)[C@@H](O)c2c(ccc3cc4ccccc4cc23)[C@@H]1O
56.png,CC(C=O)=CC1CC=CCC1
57.png,O=S(=O)(O)c1cccnc1
58.png,CC(Cc1ccccc1)NCCC(c1ccccn1)c1ccccn1
59.png,COc1cc(C(=O)CCN2CCN(c3ccc(C)cc3)CC2)cc(OC)c1OC.Cl
60.png,O=C1OCCN1c1ccccc1
61.png,C=CCSc1ccccc1C(=O)O
62.png,O=C1C=Cc2c(ccc3c2ccc2c4ccccc4ccc32)C1=O
63.png,CCCCCCCCCCCCCOc1ccc(Sc2ccc([N+](=O)[O-])cc2)cc1
64.png,CCCC1=NCCN1
65.png,NC1C[C@H](n2cc(C=CBr)c(=O)[nH]c2=O)C[C@@H]1CO
66.png,COc1ccc2c(cc3c4c(cc5c(c42)OCO5)C(=O)C(=O)N3C)c1OC
67.png,C#C[C@]1(CO)O[C@@H](n2cc(I)c(=O)[nH]c2=O)C[C@@H]1O
68.png,CCNC(=O)N(c1ccc([N+](=O)[O-])cc1)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-]
69.png,CCCCNC(=O)C(=Cc1ccccc1)NC(C)=O
70.png,Cc1ccc(C(=O)CCCC(=O)c2ccc(C)cc2)cc1
71.png,CSc1nc(N)c(C(N)=O)s1
72.png,C=CC(N)=O.C=O.CNC
73.png,C=Cc1c(C)c2cc3[nH]c(cc4nc(cc5nc(cc1[nH]2)C(C)=C5CCCO)C(CCCO)=C4C)c(C)c3C=C
74.png,CC(C)(C)CCCCCCCCSCCOCCO
75.png,C1=CC2=C3N=C4C(C=C3C=CC2C=C1)c1ccccc1C1OC41
76.png,NC(N)=NCCCC(NC(=O)COCC(c1ccccc1)c1ccccc1)C(=O)O
77.png,Cc1ccc([N+](=O)[O-])cc1/N=N/c1c(O)c(C(=O)Nc2cccc([N+](=O)[O-])c2)cc2ccccc12
78.png,Cn1cc(N)cc1C(=O)Nc1ccc(S(=O)(=O)O)c2cc(S(=O)(=O)O)ccc12
79.png,CCC1(c2ccccc2)NN1C1CCCCC1
80.png,CC(C)CN1CC2(CO)CC(=O)CC(Cc3ccccc3)(C1)C2O
81.png,COC(=O)c1cc(C)ccc1CC(Cc1ccc(C)cc1)C(=O)OC
82.png,c1ccc2c(c1)C[N+](=C1CCCCC1)Cc1ccccc1-2
83.png,Cc1cc(O)c2ccccc2c1O
84.png,CN(C)CCOC(=O)c1cccc(CCl)c1CCl
85.png,Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C3CCC4C5CCC6=CC(=O)CCC6(C)C5C(O)CC34C)O2)c(=O)[nH]c1=O
86.png,N#Cc1c(Cl)cc(C2(OC(=O)c3ccc([N+](=O)[O-])cc3)C3C=CC2CC3)cc1Cl
87.png,CN(C)C(=S)SCC(=O)NC(CO)C(=O)O
88.png,c1ccc(Oc2ccccn2)cc1
89.png,C=C1CC(COc2ccc3ccc(=O)oc3c2)OC1=O
90.png,CC1=CCCCC1(C)C(C)=NNC(N)=O
91.png,COc1cc2c(cc1I)-c1c(cc(OC)c(OC)c1OC)CC[C@@H]2NC(C)=O
92.png,C#CC1(OC(=O)OCCCCC(O)CO)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CCC21CC
93.png,O=C(Nc1ccc([N+](=O)[O-])cc1)OCc1ccccc1
94.png,OCC1OC(OC2C(CO)OC(Sc3ccccc3)C(O)C2O)C(O)C(O)C1O
95.png,O=c1oc(-c2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)c2c3ccccc3ccn12
96.png,C1COCCN1.CCCCCCCCCCCCCCOP(=O)(O)O
97.png,[H]/N=C(\SC)c1cccc(OCCCOc2ccccc2)c1
98.png,CCOC(=O)C=C(C)O[Si](C)(OCC)OCC
99.png,COC(=O)C1=CN(c2ccccc2)C(=O)C1
100.png,COc1cc2c(O[C@@H]3OC[C@@H](OC)[C@H](OC)[C@H]3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c3c(c(-c4ccc5c(c4)OCO5)c2cc1OC)C(=O)OC3
101.png,Cc1cc(/N=N/c2cc[n+]([O-])cc2)cc(C)c1N(C)C
102.png,CC(=O)NCCCC[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)[C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)O)[C@@H](C)O)C(C)C)[C@@H](C)O
103.png,CC[n+]1c(C)sc2ccc(OC)cc21.Cc1ccc(S(=O)(=O)[O-])cc1
104.png,O=[N+]([O-])c1ccc(Cl)cc1C(Nc1nncs1)Nc1nncs1
105.png,CCCCCCCCCCCC(CC(=O)O)c1c(C)c(C)cc2c1nc1c(=O)[nH]c(=O)nc-1n2CC(O)C(O)C(O)COP(=O)(O)O
106.png,CC12CCCC(OC1)O2
107.png,CNC(=O)OCC1=CC(=O)C=CC1=O
108.png,N#Cc1nc(CN2C(=O)c3ccccc3C2=O)oc1N
109.png,CCOC(=O)C1C2CCCCC21
110.png,CCOP(=O)(OCC)SCC[N+](C)(C)C1CCCCC1
111.png,Cc1ncc(CO)c(CNN)c1O.Cl.Cl
112.png,CC(C)CCCC(C)CCCC(C)CCCC(C)CCOCC(COP(=O)(O)OCCCO)OCCC(C)CCCC(C)CCCC(C)CCCC(C)C
113.png,O=P(CCP(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
114.png,COc1cccc2c1ccc1cc([N+](=O)[O-])oc12
115.png,CC(C)C[C@H](NC(=O)C(Cc1cccc2ccccc12)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
116.png,C=C(CC)C(=O)OCC
117.png,CCOc1ccc(NC(=O)NC(=O)c2c(F)cccc2F)cc1
118.png,CCCCOC(=O)C1CCCN(C)C1
119.png,CC(C)CC(C)(c1ccc(C(C)(C)C)cc1)C(C)(CC(C)C)c1ccc(C(C)(C)C)cc1
120.png,O=C(O)C(=Cc1ccc2ccccc2n1)Cc1ccc2ccccc2n1
121.png,O=C1N(CC2CC2)[C@H](Cc2cccs2)[C@H](O)[C@@H](O)[C@@H](Cc2cccs2)N1CC1CC1
122.png,[Na+].[Na+].[O-][O-]
123.png,Nc1ccc2c(cnn2C(=O)c2ccccc2)c1
124.png,CCc1ccc(CC(O)(CC)CC)nc1
125.png,CC(C)[C@H](CCCc1ccccc1)NC(=O)C(F)(F)C(=O)[C@H](Cc1ccc(OCc2ccccc2)cc1)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C
126.png,CCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
127.png,CC1(C)OC2CC(=O)OCC23C1CC(=O)C1(C)C2=CCOC(c4ccoc4)C2(C)CCC13
128.png,C1=Cc2ccccc2C1=Cc1ccc(C=C2C=Cc3ccccc32)cc1
129.png,CCOc1cnnc(Cl)c1Cl
130.png,COC1CNC(=O)NCC1[Se]c1ccccc1
131.png,NC(=O)CC(NC(=O)OCc1ccccc1)C(=O)Oc1ccc([N+](=O)[O-])cc1
132.png,CCOc1ccc(N2CC(C(=O)N3CCNCC3)CC2=O)cc1.Cl
133.png,C=O.N#CN=C(N)N.NC(N)=O
134.png,COC1OC(Cc2nnnn2CC2OC(OC)C(OCc3ccccc3)C(OCc3ccccc3)C2OCc2ccccc2)C(OCc2ccccc2)C(OCc2ccccc2)C1OCc1ccccc1
135.png,CC(=O)C(C)OC(=O)c1ccccc1
136.png,CCCc1nc(N=NN(C)C)c(C(N)=O)[nH]1
137.png,COC(=O)c1nc(N)nc(C(=O)OC)c1C(=O)c1ccc([N+](=O)[O-])cc1
138.png,CCN(CC)CCOCCOC(=O)CC1(C)Oc2ccccc2O1
139.png,c1ccc2c(c1)Cc1ccccc1C(N1CCNCC1)=N2
140.png,NNC(=O)Cc1ccccc1
141.png,C[N+](C)(C)CCCCN1CCCC1=O.[I-]
142.png,Cc1ncc(COP(=O)(O)O)c(/C=N/CCSCCNc2ncnc3c2ncn3C2O[C@H](CO)[C@@H](O)[C@H]2O)c1O
143.png,Cc1ccc2c(c1)c1c3ccccc3nc3c4ccc(C)cc4c4c5ccccc5nc2c4c31
144.png,OCC(CO)(CCBr)CCBr
145.png,NC1CCCCC1.NC1CCCCC1.O=P(O)(O)OCC(O)CCl
146.png,[H]/N=C(\N)c1ccc2nc(C(O)(O)c3nc4ccc(/C(N)=N/[H])cc4[nH]3)[nH]c2c1
147.png,O=C(C[n+]1ccc(C=NO)cc1)c1ccccc1
148.png,NC1=NN(S(=O)(=O)c2ccc(Br)cc2)CC1
149.png,CC[NH+](CCCl)CCOCCOc1ccccc1C.[Cl-]
150.png,COC(=O)C(C)Oc1ccc(OC)cc1
151.png,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCCCCCCCC
152.png,CCN(CC)Cc1c[nH]c2ccc([N+](=O)[O-])cc12
153.png,CC(C)c1ccc(C(C(C(=O)c2ccccc2)N2CCOCC2)N2CCOCC2)cc1
154.png,Oc1ccccc1/N=C/c1ccc2c(c1)OCO2
155.png,CCOCCOC(=O)Nc1c(Cl)cccc1Cl
156.png,CCCCCCCCCCCCCCCCCC(=O)Nc1ccccc1
157.png,O=C1NC(O)c2c(F)cccc2O1
158.png,S=P(OC1CC2CCC1C2)(c1ccccc1)c1ccccc1
159.png,c1ccc2c(c1)OCC(CN1CCOCC1)O2
160.png,CCCCI(O)OS(=O)(=O)c1ccc(C)cc1
161.png,CC(C)(C)c1ccc(C=O)c(-c2ccc(N)cc2)c1
162.png,O=C(NP(=O)(N1CC1)N1CC1)c1ccc(C(F)(F)F)cc1
163.png,O=CNC(C(=O)N1CCOCC1)=C1CCCC1
164.png,COc1ccc(-c2cc(-c3ccc(Nc4ccnc5cc(C(F)(F)F)ccc45)cc3)nc(N)c2C#N)cc1
165.png,CCCCNc1c2c(nc3ccccc13)CCCCC2
166.png,CC(=O)Nc1cc(NCC(C)O)c(Cl)cc1/N=N/c1ccc([N+](=O)[O-])cc1Cl
167.png,CN(C)CC(O)C=O
168.png,CCCc1cc(=O)oc2c3c(cc(OC(C)CC)c12)O[C@H](C)[C@@H](C)C3=O
169.png,C=CCCCCCCCCCC(CCCCCC)C(=O)O
170.png,CC(=O)Nc1c(I)cc(I)c(OC(C(=O)O)c2cccc(C)c2)c1I
171.png,CCC(=O)O[C@]1(c2ccccc2)CCN(C)C[C@@H]1C
172.png,COC1CC(OC2C(C)OC(OC3C(C)OC(OC4C(C)OC(OC5CCC6(C)C(=CCC7(O)C6CC(OC(=O)C=C(C)C(C)C)C6(C)C(O)(C(C)=O)CCC76O)C5)CC4OC)CC3OC)CC2OC)OC(C)C1O
173.png,CC(C)(C)n1c(=O)c2c(-c3noc(C4CC4)n3)ncn2c2ccccc21
174.png,CC(=O)OC1CCC2C3CCc4cc(OC(=S)N(C)C)ccc4C3CCC12C
175.png,O=C(O)C1(Br)c2ccccc2-c2ccccc21
176.png,CC1C2CCC3C(O)C2(CC(O)C2(O)C1CC(O)C2(C)C)CC3(C)O
177.png,C#CC(O)C=CCCCCCCCCCCC=CCCCCCCCC(O)C#CC#CC#CCO
178.png,c1ccc2nc3c(cc2c1)[nH]c1ccccc13
179.png,C#CC(C)(CCC=C(C)C)OC(=O)CC
180.png,CCOC(=O)C(Br)C(C)(C)C
181.png,O=[N+]([O-])c1ccc(S(=O)(=O)NCCSSCCNS(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1
182.png,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H]1NCc2ccc(cc2)OCCOCCOCCNC(=O)[C@H](C(C)C)NC1=O
183.png,Nc1nc(N)c(-c2ccc(Cl)cc2)c(CCC(=O)Nc2cccc(C(F)(F)F)c2)n1
184.png,O=C(O)C(Cl)(Br)Br
185.png,NC(Cc1cnc[nH]1)C(=O)[O-].Nc1ncnc2nc[nH]c12.[Cl-].[Pt+2]
186.png,CCCc1c(O)c(=O)c2c(OC)cc(OC)c3c4c(OC)cc(OC)c5c(=O)c(O)c(CCC)c(c1c23)c54
187.png,O=NN(CC(=O)O)c1ccc2ccccc2c1
188.png,O=c1c[n+](CCN2CCCCC2)[nH]o1
189.png,CCCCc1cc(C)ccc1O
190.png,CCOc1ccc(N(C)c2ccc(C3=[N+](CC)c4cccc5cccc3c45)cc2)cc1
191.png,CC1=CC(=C2C(=O)c3ccccc3C2=O)N(CCN2CCCCC2)C=C1
192.png,NC(C(=O)O)c1ccc(C=O)c(O)c1
193.png,CCC(C)c1ccc(OCC(C)OC(=O)CCl)cc1
194.png,NNC(=O)C1=CN(Cc2ccccc2)C=CC1
195.png,O=C(O)c1ccc2c(c1)nc(-c1ccco1)n2C1CCCCC1
196.png,O=NN(CCN(Cc1ccccc1)N=O)Cc1ccccc1
197.png,CC(=O)O.CCCCCCCCCCCC(=O)NCCCN(C)C
198.png,C=[CH][Sn]([CH]=C)([CH]=C)[CH]=C
199.png,CCOC(=O)C1=C(CSCCNC=O)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1
200.png,CC(C)Cc1cc(O)cc2ccccc12
201.png,Clc1ccc(Oc2cccc(Cl)c2)cc1
202.png,CC(=O)Nc1ccc2c(Nc3ccc(C(=O)Nc4ccc(Nc5cc[n+](C)cc5)cc4)cc3)cc[n+](C)c2c1
203.png,O=C(NCCI)c1ccc(Cl)c(Cl)c1
204.png,CCCN1C(=O)c2cccn2S(=O)(=O)c2cc(Cl)ccc21
205.png,CNc1ccc(-c2ccccc2)cc1
206.png,[Cl][Re]([Cl])[Cl]
207.png,CC(C)Oc1ccc(C(=O)C(C(c2ccccc2)N2CCOCC2)N2CCOCC2)cc1
208.png,CC1(C2CCC3C4CCC5CC(O)CCC5(C)C4CCC32C)OCCO1
209.png,Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl
210.png,CC(C)c1nc(COC(N)=O)n(C)c1Cc1cc(Cl)cc(Cl)c1
211.png,CC(CCc1cccc2ccccc12)(C(=O)O)C(=O)O
212.png,NCCOC(=O)C=CC(=O)O
213.png,O=C([O-])c1ccccc1C(=O)[O-].[Ba+2]
214.png,OC[C@H]1O[C@@H](ONc2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O
215.png,CCCCCn1c(Cl)c(C=NNc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])c2ccccc21
216.png,c1ccc(-c2ccccc2-c2ccccc2-c2ccccc2)cc1
217.png,CC(=O)Oc1c(OC(C)=O)c2c3c(c(-c4c(C)cc5c(C(C)C)c(OC(C)=O)c(OC(C)=O)c6c5c4OC6OC(C)=O)c(C)cc3c1C(C)C)OC2OC(C)=O
218.png,COC(=O)C(Cc1ccccc1)NC(=O)C(C)(C)Oc1ccc(Cl)cc1
219.png,CCCCCCOB(OCCCCCC)OCCCCCC
220.png,CCCCC(CC)COP(=O)([O-])[O-].[K+].[K+]
221.png,CCCCCCCC[N+](C)(C)CCOCC[N+](C)(C)CCCCCCCC
222.png,CC1=C(CO)C(=O)OC(C(C)C2CCC3C4CC5OC56C(O)C(N5CCOCC5)CC(=O)C6(C)C4CCC23C)C1
223.png,Clc1nc(N2CCCC2)nc(N2CCCC2)n1
224.png,CC1=NC(C)(C)NC(C)(C)C1
225.png,C[N+](C)(CCOc1ccccc1)Cc1cccs1.O=S(=O)([O-])c1ccc(Cl)cc1
226.png,O=C(C1=CN(CC(O)c2ccccc2)CCC1)c1cc2ccccc2n1S(=O)(=O)c1ccccc1
227.png,CCCCOc1ccc(C(=O)Cl)cc1
228.png,CCCCNCC(O)COC(Cc1ccccc1)Cc1ccccc1
229.png,CCCCCCCCC=CCCCCCCCC(=O)N1CCCCCC1
230.png,C=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
231.png,CC(C)(C)C#CC=CCNCc1cccc2ccccc12
232.png,CC(Br)(C(=O)O)C(Br)c1ccccc1
233.png,O=C1CNC(=O)CNC(=O)[C@@H](CCCNO)NC(=O)[C@H](CCCNO)NC(=O)[C@H](CCCNO)NC(=O)CN1
234.png,CC(=O)Oc1ccc2c(c1)-c1ccccc1C2
235.png,Cc1ccc[n+](C)c1
236.png,CCCCc1ccc(C2=C(Cl)C(=O)C(c3ccc(CCCC)cc3)=C(Cl)C2=O)cc1
237.png,N#CC(C(=O)CCC(=O)C(C#N)c1c(Cl)cccc1Cl)c1c(Cl)cccc1Cl
238.png,CCCCCOC(CBr)c1ccc(C2CCCC2)cc1
239.png,CC1C(=O)OCC2C1CC(O)C2(C)OC1OC(CO)C(O)C(O)C1O
240.png,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C
241.png,O=C(O)c1cc2cnccc2[nH]c1=O
242.png,COC(=O)Cn1c(=NN=C(C)c2ccccc2)sc2ccccc21
243.png,O=c1c(/N=N/c2ccc(Cl)cc2)c(O)n(-c2ccc(I)cc2)c(=S)n1-c1ccccc1
244.png,O=C(O)c1ccc(CSc2ccccc2)c([N+](=O)[O-])c1
245.png,CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2OC(C)C(O)C(O)C2F)C1)C(=O)c1ccccc1C3=O
246.png,[H]/N=C1\CCCCC1C(=S)SCCC#N
247.png,CCOC(=O)C1=C(CC)C(C)CCC1(C)C
248.png,O=C1c2cc(O)ccc2-c2ccc(O)c3cccc1c23
249.png,Cc1c(OCC2=NCCN2)ccc(Cl)c1NS(C)(=O)=O.Cl
250.png,C1=CC2(CCC1)CC2
251.png,CCOC(=O)c1cc2c(=O)c(C(=O)OCC)c[nH]c2o1
252.png,CC(O)(CC[Si](C)(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4CC(O)CC[C@]4(C)[C@H]3CC[C@]12C
253.png,O=C(O)c1cc(-c2ccccc2)nc2ccc(Cl)cc12
254.png,Nc1ccn([C@H]2CS[C@@H](CO)O2)c(=O)n1
255.png,CCCc1nc(C(F)(F)F)c(O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
256.png,O=P(Cl)(Oc1c(Br)cc(Br)cc1Br)Oc1c(Br)cc(Br)cc1Br
257.png,COc1cc(C=C2CCOC2=O)cc([N+](=O)[O-])c1OC
258.png,O=C(Cl)C(F)(F)F
259.png,c1ccc2c3c(ccc2c1)CCC1OC31
260.png,Cc1c(F)c(F)cc(F)c1F
261.png,Nc1ncnc2c1cnn2C1OC(CO)C(O)C1O
262.png,Cc1ccc(S(=O)(=O)NNC(=O)c2cc(C)ccc2NC(=O)C23CC4CC(CC(C4)C2)C3)cc1
263.png,O=C1CCC([O-])=N1.O=C1CCC([O-])=N1.O=C1CCC([O-])=N1.O=C1CCC([O-])=N1.[Au+3].[K+]
264.png,CO[C@H]1C=CO[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(OCC(=O)O)c4c3C2=O)NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
265.png,c1ccc2cc3[s+]snc3cc2c1
266.png,COP(=O)(OC)Oc1ccc(C#N)cc1
267.png,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O.[H]N=C(N)N
268.png,CCC([O-])N(C)C.[Br-].[Mg+2]
269.png,CC(N)Cc1ccc2c(c1)OC(C)O2
270.png,NC(N)=NN=Cc1c(-c2ccccc2)nc2n1ccc1nc(-c3ccccc3)c(C=NN=C(N)N)n12
271.png,ON=C(CCc1ccc(Cl)cc1)c1ccccc1
272.png,CCCc1cc(=O)c2ccccc2n1COC(C)=O
273.png,O=C1CC(c2ccccc2)CN1
274.png,COC(=O)C1=CCC2C(C(=O)O)=COC(OC3OC(CO)C(O)C(O)C3O)C12
275.png,C=CCCCCCCCCC(OCCC(C)CCC=C(C)C)OCCC(C)CCC=C(C)C
276.png,Cc1ccc(S(=O)(=O)N2CC3(CN(S(=O)(=O)c4ccc(C)cc4)CC4(C2)OCCO4)OCCO3)cc1
277.png,CCC(C)(C)c1cc(Cl)nnc1Cl
278.png,OC[C@H]1O[C@@H]2O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@@H](O[C@H]8[C@H](O)[C@@H](O)[C@@H](O[C@H]9[C@H](O)[C@@H](O)[C@@H](O[C@H]%10[C@H](O)[C@@H](O)[C@@H](O[C@H]%11[C@H](O)[C@@H](O)[C@@H](O[C@H]1[C@H](O)[C@H]2O)O[C@@H]%11CO)O[C@@H]%10CO)O[C@@H]9CO)O[C@@H]8CO)O[C@@H]7CO)O[C@@H]6CO)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO
279.png,C=C(C)C(=O)OC(C)COc1ccc(C(C)(C)c2ccc(OCC(C)OC(=O)C(=C)C)c(C)c2)cc1C
280.png,Cc1ccc2[nH]c(C)c(C(=O)c3ccncc3)c2c1
281.png,NC(N)=NS(=O)(=O)c1ccc(/N=C/c2c3ccccc3nc3ccccc23)cc1
282.png,O=C(Oc1ccccc1)c1ccccc1O
283.png,COP(=O)(OC)C1(NC(C)c2ccccc2)CC1
284.png,C=C(C)C(=O)OCCO.Nc1ccc(Oc2ccc(N)cc2)cc1.Nc1cccc(N)c1.O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O
285.png,N#[N+]c1ccc(/N=N/c2ccc(S(=O)(=O)O)cc2)c2cc(S(=O)(=O)O)ccc12
286.png,CCN(CC)S(=O)(=O)c1ccc(CCNc2cc(N)nc3nccnc23)cc1
